ID,Target
ID_ECQME2K x m1,0.0
ID_ECQME2K x m2,0.0
ID_ECQME2K x m3,0.0
ID_ECQME2K x m4,0.0
ID_ECQME2K x m5,0.0
ID_ECQME2K x m6,0.0
ID_2TE361R x m1,0.0
ID_2TE361R x m2,0.0
ID_2TE361R x m3,0.0
ID_2TE361R x m4,0.0
ID_2TE361R x m5,0.0
ID_2TE361R x m6,0.0
ID_HKURNJL x m1,0.0
ID_HKURNJL x m2,0.0
ID_HKURNJL x m3,0.0
ID_HKURNJL x m4,0.0
ID_HKURNJL x m5,0.0
ID_HKURNJL x m6,0.0
ID_DGWMMDW x m1,0.0
ID_DGWMMDW x m2,0.0
ID_DGWMMDW x m3,0.0
ID_DGWMMDW x m4,0.0
ID_DGWMMDW x m5,0.0
ID_DGWMMDW x m6,0.0
ID_B7HBFMG x m1,0.0
ID_B7HBFMG x m2,0.0
ID_B7HBFMG x m3,0.0
ID_B7HBFMG x m4,0.0
ID_B7HBFMG x m5,0.0
ID_B7HBFMG x m6,0.0
ID_CIBQLVJ x m1,0.0
ID_CIBQLVJ x m2,0.0
ID_CIBQLVJ x m3,0.0
ID_CIBQLVJ x m4,0.0
ID_CIBQLVJ x m5,0.0
ID_CIBQLVJ x m6,0.0
ID_ZUPIPZC x m1,0.0
ID_ZUPIPZC x m2,0.0
ID_ZUPIPZC x m3,0.0
ID_ZUPIPZC x m4,0.0
ID_ZUPIPZC x m5,0.0
ID_ZUPIPZC x m6,0.0
ID_COOHB8T x m1,0.0
ID_COOHB8T x m2,0.0
ID_COOHB8T x m3,0.0
ID_COOHB8T x m4,0.0
ID_COOHB8T x m5,0.0
ID_COOHB8T x m6,0.0
ID_9XFA6HV x m1,0.0
ID_9XFA6HV x m2,0.0
ID_9XFA6HV x m3,0.0
ID_9XFA6HV x m4,0.0
ID_9XFA6HV x m5,0.0
ID_9XFA6HV x m6,0.0
ID_TEA2UEB x m1,0.0
ID_TEA2UEB x m2,0.0
ID_TEA2UEB x m3,0.0
ID_TEA2UEB x m4,0.0
ID_TEA2UEB x m5,0.0
ID_TEA2UEB x m6,0.0
ID_37SXS61 x m1,0.0
ID_37SXS61 x m2,0.0
ID_37SXS61 x m3,0.0
ID_37SXS61 x m4,0.0
ID_37SXS61 x m5,0.0
ID_37SXS61 x m6,0.0
ID_0A7EH0S x m1,0.0
ID_0A7EH0S x m2,0.0
ID_0A7EH0S x m3,0.0
ID_0A7EH0S x m4,0.0
ID_0A7EH0S x m5,0.0
ID_0A7EH0S x m6,0.0
ID_PRPSQKK x m1,0.0
ID_PRPSQKK x m2,0.0
ID_PRPSQKK x m3,0.0
ID_PRPSQKK x m4,0.0
ID_PRPSQKK x m5,0.0
ID_PRPSQKK x m6,0.0
ID_BJ6WV9R x m1,0.0
ID_BJ6WV9R x m2,0.0
ID_BJ6WV9R x m3,0.0
ID_BJ6WV9R x m4,0.0
ID_BJ6WV9R x m5,0.0
ID_BJ6WV9R x m6,0.0
ID_I78IZ3E x m1,0.0
ID_I78IZ3E x m2,0.0
ID_I78IZ3E x m3,0.0
ID_I78IZ3E x m4,0.0
ID_I78IZ3E x m5,0.0
ID_I78IZ3E x m6,0.0
ID_HHYNG8I x m1,0.0
ID_HHYNG8I x m2,0.0
ID_HHYNG8I x m3,0.0
ID_HHYNG8I x m4,0.0
ID_HHYNG8I x m5,0.0
ID_HHYNG8I x m6,0.0
ID_FBGV6E9 x m1,0.0
ID_FBGV6E9 x m2,0.0
ID_FBGV6E9 x m3,0.0
ID_FBGV6E9 x m4,0.0
ID_FBGV6E9 x m5,0.0
ID_FBGV6E9 x m6,0.0
ID_JZ78SZ8 x m1,0.0
ID_JZ78SZ8 x m2,0.0
ID_JZ78SZ8 x m3,0.0
ID_JZ78SZ8 x m4,0.0
ID_JZ78SZ8 x m5,0.0
ID_JZ78SZ8 x m6,0.0
ID_HDNUYBR x m1,0.0
ID_HDNUYBR x m2,0.0
ID_HDNUYBR x m3,0.0
ID_HDNUYBR x m4,0.0
ID_HDNUYBR x m5,0.0
ID_HDNUYBR x m6,0.0
ID_NSOF438 x m1,0.0
ID_NSOF438 x m2,0.0
ID_NSOF438 x m3,0.0
ID_NSOF438 x m4,0.0
ID_NSOF438 x m5,0.0
ID_NSOF438 x m6,0.0
ID_LHFKL0M x m1,0.0
ID_LHFKL0M x m2,0.0
ID_LHFKL0M x m3,0.0
ID_LHFKL0M x m4,0.0
ID_LHFKL0M x m5,0.0
ID_LHFKL0M x m6,0.0
ID_U194SWK x m1,0.0
ID_U194SWK x m2,0.0
ID_U194SWK x m3,0.0
ID_U194SWK x m4,0.0
ID_U194SWK x m5,0.0
ID_U194SWK x m6,0.0
ID_Q0WMOQ5 x m1,0.0
ID_Q0WMOQ5 x m2,0.0
ID_Q0WMOQ5 x m3,0.0
ID_Q0WMOQ5 x m4,0.0
ID_Q0WMOQ5 x m5,0.0
ID_Q0WMOQ5 x m6,0.0
ID_D7QA4C4 x m1,0.0
ID_D7QA4C4 x m2,0.0
ID_D7QA4C4 x m3,0.0
ID_D7QA4C4 x m4,0.0
ID_D7QA4C4 x m5,0.0
ID_D7QA4C4 x m6,0.0
ID_3MD6PQO x m1,0.0
ID_3MD6PQO x m2,0.0
ID_3MD6PQO x m3,0.0
ID_3MD6PQO x m4,0.0
ID_3MD6PQO x m5,0.0
ID_3MD6PQO x m6,0.0
ID_ZZUI7BX x m1,0.0
ID_ZZUI7BX x m2,0.0
ID_ZZUI7BX x m3,0.0
ID_ZZUI7BX x m4,0.0
ID_ZZUI7BX x m5,0.0
ID_ZZUI7BX x m6,0.0
ID_9G44VFO x m1,0.0
ID_9G44VFO x m2,0.0
ID_9G44VFO x m3,0.0
ID_9G44VFO x m4,0.0
ID_9G44VFO x m5,0.0
ID_9G44VFO x m6,0.0
ID_NLO727H x m1,0.0
ID_NLO727H x m2,0.0
ID_NLO727H x m3,0.0
ID_NLO727H x m4,0.0
ID_NLO727H x m5,0.0
ID_NLO727H x m6,0.0
ID_L1H32PJ x m1,0.0
ID_L1H32PJ x m2,0.0
ID_L1H32PJ x m3,0.0
ID_L1H32PJ x m4,0.0
ID_L1H32PJ x m5,0.0
ID_L1H32PJ x m6,0.0
ID_B22HA1P x m1,0.0
ID_B22HA1P x m2,0.0
ID_B22HA1P x m3,0.0
ID_B22HA1P x m4,0.0
ID_B22HA1P x m5,0.0
ID_B22HA1P x m6,0.0
ID_NGCET14 x m1,0.0
ID_NGCET14 x m2,0.0
ID_NGCET14 x m3,0.0
ID_NGCET14 x m4,0.0
ID_NGCET14 x m5,0.0
ID_NGCET14 x m6,0.0
ID_CN83BUG x m1,0.0
ID_CN83BUG x m2,0.0
ID_CN83BUG x m3,0.0
ID_CN83BUG x m4,0.0
ID_CN83BUG x m5,0.0
ID_CN83BUG x m6,0.0
ID_2U58GWB x m1,0.0
ID_2U58GWB x m2,0.0
ID_2U58GWB x m3,0.0
ID_2U58GWB x m4,0.0
ID_2U58GWB x m5,0.0
ID_2U58GWB x m6,0.0
ID_XWB1IBC x m1,0.0
ID_XWB1IBC x m2,0.0
ID_XWB1IBC x m3,0.0
ID_XWB1IBC x m4,0.0
ID_XWB1IBC x m5,0.0
ID_XWB1IBC x m6,0.0
ID_CKHSFOU x m1,0.0
ID_CKHSFOU x m2,0.0
ID_CKHSFOU x m3,0.0
ID_CKHSFOU x m4,0.0
ID_CKHSFOU x m5,0.0
ID_CKHSFOU x m6,0.0
ID_45CUGSS x m1,0.0
ID_45CUGSS x m2,0.0
ID_45CUGSS x m3,0.0
ID_45CUGSS x m4,0.0
ID_45CUGSS x m5,0.0
ID_45CUGSS x m6,0.0
ID_9MZ66NK x m1,0.0
ID_9MZ66NK x m2,0.0
ID_9MZ66NK x m3,0.0
ID_9MZ66NK x m4,0.0
ID_9MZ66NK x m5,0.0
ID_9MZ66NK x m6,0.0
ID_D01LK3O x m1,0.0
ID_D01LK3O x m2,0.0
ID_D01LK3O x m3,0.0
ID_D01LK3O x m4,0.0
ID_D01LK3O x m5,0.0
ID_D01LK3O x m6,0.0
ID_SBKJ3BJ x m1,0.0
ID_SBKJ3BJ x m2,0.0
ID_SBKJ3BJ x m3,0.0
ID_SBKJ3BJ x m4,0.0
ID_SBKJ3BJ x m5,0.0
ID_SBKJ3BJ x m6,0.0
ID_VLY8SAC x m1,0.0
ID_VLY8SAC x m2,0.0
