ID,RegistrationDate,Deposit,UpsellDate,AccessoryRate,PaymentMethod,rateTypeEntity,RatePerUnit,DaysOnDeposit,MainApplicantGender,Age,Region,Town,Occupation,SupplierName,Term,TotalContractValue,ExpectedTermDate,FirstPaymentDate,LastPaymentDate
ID_ECQME2K,2017-09-14 09:37:03,2000,,0.0,FINANCED,DAILY,40,7,Female,34.0,Western,Bungoma,Farmer,d_light,364,16560.0,2018-09-13 09:37:03,2017-09-14 09:37:03,2018-12-30 09:20:00
ID_3CU8FA2,2020-01-10 13:01:49,2000,,0.0,FINANCED,DAILY,40,3,Male,31.0,Nyanza,Kisumu,Driver/Motorbike Rider,d_light,270,12800.0,2020-10-06 13:01:49,2020-01-10 13:01:57,2021-05-05 10:25:15
ID_GQ0UY5S,2020-01-04 09:47:30,2000,,0.0,FINANCED,DAILY,40,3,Male,42.0,Coast Region,Kilifi,Driver/Motorbike Rider,d_light,270,12800.0,2020-09-30 09:47:30,2020-01-04 09:47:38,2020-12-13 12:59:17
ID_8K4M1PP,2017-08-21 10:29:35,2000,,0.0,FINANCED,DAILY,40,7,Male,31.0,Nyanza,Homa Bay,Labourer,d_light,364,16560.0,2018-08-20 10:29:35,2017-08-21 10:29:37,2019-03-11 15:17:21
ID_T3ANBPN,2018-02-14 16:49:43,2999,,0.0,FINANCED,DAILY,55,3,Male,44.0,South Rift,Narok,Business,d_light,547,33084.0,2019-08-15 16:49:43,2018-02-14 16:50:02,2021-05-22 16:17:33
ID_2TE361R,2020-02-04 13:49:17,3000,,0.0,FINANCED,DAILY,40,3,Male,23.0,Coast Region,Tana River,Farmer,d_light,340,16600.0,2021-01-09 13:49:17,2020-02-04 13:49:22,2021-05-15 14:59:49
ID_T8YE9SZ,2017-07-25 11:59:29,2000,,0.0,FINANCED,DAILY,40,7,Female,38.0,Western,Bungoma,Labourer,d_light,364,16560.0,2018-07-24 11:59:29,2017-07-25 11:59:28,2019-12-30 15:58:17
ID_HKURNJL,2018-04-28 15:36:34,2500,,0.0,FINANCED,DAILY,55,3,Female,,Nyanza,Kisii,Farmer,d_light,556,33080.0,2019-11-05 15:36:34,2018-04-28 15:36:38,2021-05-21 16:01:30
ID_DGWMMDW,2020-01-10 10:59:36,2000,,0.0,FINANCED,DAILY,40,3,Male,29.0,Mount Kenya Region,Tharaka-Nithi,Other,d_light,270,12800.0,2020-10-06 10:59:36,2020-01-10 10:59:44,2021-02-20 16:44:02
ID_CS7M44G,2017-09-25 15:18:41,2000,,0.0,FINANCED,DAILY,40,7,Female,44.0,Nairobi Region,Machakos,Teacher,d_light,364,16560.0,2018-09-24 15:18:41,2017-09-25 15:19:09,2021-05-18 19:19:00
